Year;Spain;France;UK;EE.UU.;;;;;
1277;1996;2005;1346;;;;;;
1278;2021;1866;1393;;;;;;
1279;2046;1863;1154;;;;;;
1280;2072;1856;1165;;;;;;
1281;2098;1819;1231;;;;;;
1282;2124;1956;1187;;;;;;
1283;2151;1947;1122;;;;;;
1284;2177;1934;1154;;;;;;
1285;2204;1588;1162;;;;;;
1286;2207;1751;1139;;;;;;
1287;2211;1974;1240;;;;;;
1288;2214;1843;1195;;;;;;
1289;2218;1930;1096;;;;;;
1290;2231;1804;1106;;;;;;
1291;2244;1777;1108;;;;;;
1292;2258;1608;1168;;;;;;
1293;2397;1472;1196;;;;;;
1294;2308;1532;1188;;;;;;
1295;2221;1826;1272;;;;;;
1296;2135;1842;1324;;;;;;
1297;2051;1946;1267;;;;;;
1298;2054;1862;1334;;;;;;
1299;2056;1672;1285;;;;;;
1300;2059;1794;1277;;;;;;
1301;2030;1778;1286;;;;;;
1302;2074;2275;1320;;;;;;
1303;2120;2131;1376;;;;;;
1304;2167;1684;1245;;;;;;
1305;2215;1987;1280;;;;;;
1306;2294;1651;1244;;;;;;
1307;2270;1916;1305;;;;;;
1308;2113;2235;1321;;;;;;
1309;2076;2153;1354;;;;;;
1310;2113;2190;1337;;;;;;
1311;2171;1838;1384;;;;;;
1312;2184;1925;1348;;;;;;
1313;2191;1960;1373;;;;;;
1314;2199;1924;1374;;;;;;
1315;2075;1738;1235;;;;;;
1316;2078;1358;1181;;;;;;
1317;2082;1942;1252;;;;;;
1318;2085;1937;1399;;;;;;
1319;2089;1837;1423;;;;;;
1320;2092;1598;1395;;;;;;
1321;2081;1695;1195;;;;;;
1322;2048;1639;1274;;;;;;
1323;2016;1894;1339;;;;;;
1324;1984;1652;1236;;;;;;
1325;1983;1814;1355;;;;;;
1326;1982;1854;1371;;;;;;
1327;1971;1921;1347;;;;;;
1328;2107;1995;1250;;;;;;
1329;2040;1901;1314;;;;;;
1330;2067;1956;1279;;;;;;
1331;2190;2042;1218;;;;;;
1332;2306;2159;1281;;;;;;
1333;2441;1908;1318;;;;;;
1334;2355;2098;1274;;;;;;
1335;2266;2279;1220;;;;;;
1336;2206;2126;1276;;;;;;
1337;2220;2046;1414;;;;;;
1338;2306;2076;1440;;;;;;
1339;2369;1943;1174;;;;;;
1340;2384;2152;1315;;;;;;
1341;2621;2474;1328;;;;;;
1342;2538;1968;1389;;;;;;
1343;2421;2102;1349;;;;;;
1344;2272;2216;1440;;;;;;
1345;2439;2225;1340;;;;;;
1346;2376;2037;1272;;;;;;
1347;2314;2158;1321;;;;;;
1348;2222;2002;1353;;;;;;
