Years;Exp;Imp;PIB;Exp/PIB;Imp/PIB
1850;1;1.1;25.6;3.91;4.3
1851;0.9;1.2;26.1;3.45;4.6
1852;0.9;1.3;26.3;3.42;4.94
1853;1.2;1.3;31;3.87;4.19
1854;1.5;1.5;32.1;4.67;4.67
1855;2;1.7;34;5.88;5
1856;2;2.1;33.6;5.95;6.25
1857;2;2.5;32.4;6.17;7.72
1858;1.2;2.5;31.6;3.8;7.91
1859;1.5;2.1;33.7;4.45;6.23
1860;2;2.2;35.8;5.59;6.15
1861;1.9;2.3;36.6;5.19;6.28
1862;1.5;2.5;37.6;3.99;6.65
1863;1.6;3.1;39.6;4.04;7.83
1864;1.5;3;39.5;3.8;7.59
1865;1.6;2.7;37.2;4.3;7.26
1866;1.7;2.6;39.8;4.27;6.53
1867;2.3;2.1;42.4;5.42;4.95
1868;2.4;2.5;35.9;6.69;6.96
1869;2.7;2.1;33.1;8.16;6.34
1870;2.1;2.3;35.9;5.85;6.41
1871;2.8;2.6;38.5;7.27;6.75
1872;3.1;3.3;44.1;7.03;7.48
1873;3.7;2.8;47.1;7.86;5.94
1874;3.2;3.4;46.8;6.84;7.26
1875;3.4;2.9;46.3;7.34;6.26
1876;2.9;3.6;48.1;6.03;7.48
1877;3.6;3.2;53;6.79;6.04
1878;3.4;3;52.4;6.49;5.73
1879;3.4;3.5;51.1;6.65;6.85
1880;4.7;3.5;54.2;8.67;6.46
1881;4.8;4;56.8;8.45;7.04
1882;4.9;4.2;60.1;8.15;6.99
1883;5.2;4.5;61;8.52;7.38
1884;4.5;3.9;58.6;7.68;6.66
1885;4.8;3.9;58;8.28;6.72
1886;5.2;4;59;8.81;6.78
1887;4.8;3.9;54.1;8.87;7.21
1888;5.2;4.3;56.5;9.2;7.61
1889;5.4;4.8;52.4;10.31;9.16
1890;5.5;4.8;53.1;10.36;9.04
1891;5.9;4.6;54.2;10.89;8.49
1892;5.9;4.5;53.7;10.99;8.38
1893;5.6;4.5;52.3;10.71;8.6
1894;5.7;4.6;51.2;11.13;8.98
1895;5.5;3.9;51.6;10.66;7.56
1896;6.8;4.4;49.4;13.77;8.91
1897;7.2;4.7;53.6;13.43;8.91
1898;8.1;4.8;57.5;14.09;8.35
1899;6.9;6.2;58.4;11.82;10.62
1900;7.9;6.8;61.7;12.8;11.02
1901;7.2;6.9;64.8;11.11;10.65
1902;7.2;6.6;62.6;11.5;10.54
1903;7.5;7.1;67;11.19;10.6
1904;7.9;7.2;70.7;11.17;10.18
1905;8.7;7.6;68.1;12.78;11.16
1906;8.5;6.5;69.5;12.23;9.35
1907;9;6.4;72.3;12.45;8.85
1908;7.3;6.3;71.8;10.17;8.77
1909;7.2;5.8;73.4;9.81;7.9
1910;8;6.4;70.2;11.4;9.12
1911;8.9;7.5;75.8;11.74;9.89
1912;9.7;8.1;77.2;12.56;10.49
1913;10;9.2;82.9;12.06;11.1
1914;7.5;6.6;82.5;9.09;8
1915;9.4;5.9;90.8;10.35;6.5
1916;11.1;8;105;10.57;7.62
1917;13.9;7.6;114;12.19;6.67
1918;11.3;6.9;138;8.19;5
1919;22;12.3;149;14.77;8.26
1920;19;23.6;177;10.73;13.33
1921;13.1;16;163;8.04;9.82
1922;9.9;15.8;165;6;9.58
1923;11.9;20.2;165;7.21;12.24
1924;12.6;19.5;181;6.96;10.77
1925;14.1;19;192;7.34;9.9
1926;12.6;13.7;188;6.7;7.29
1927;13.1;15.9;201;6.52;7.91
1928;12.7;18;197;6.45;9.14
1929;14.7;20.9;212;6.93;9.86
1930;15.8;20;212;7.45;9.43
1931;15.5;15.9;208;7.45;7.64
1932;14.9;16.8;208;7.16;8.08
1933;9.9;12.4;198;5;6.26
1934;9.5;12.7;219;4.34;5.8
1935;9;12;226;3.98;5.31
1936;9.3;9.6;183;5.08;5.25
1937;10;9.8;192;5.21;5.1
1938;7.6;10.8;218;3.49;4.95
1939;7.4;9.6;251;2.95;3.82
1940;7.1;8.5;313;2.27;2.72
1941;10.1;5.6;346;2.92;1.62
1942;12;5;417;2.88;1.2
1943;13.5;12.6;449;3.01;2.81
1944;20.1;12.2;518;3.88;2.36
1945;15.7;13.3;514;3.05;2.59
1946;17.2;19.7;650;2.65;3.03
1947;24;24.3;756;3.17;3.21
1948;24.5;26.7;816;3;3.27
1949;31.4;37.7;874;3.59;4.31
1950;41.7;48.1;1079;3.86;4.46
1951;84.4;103.8;1373;6.15;7.56
1952;95.1;118.2;1510;6.3;7.83
1953;123.7;141.2;1632;7.58;8.65
1954;135;148;1888;7.15;7.84
1955;144;198;2039;7.06;9.71
1956;161;227;2523;6.38;9
1957;183;263;2944;6.22;8.93
1958;223;297;3497;6.38;8.49
1959;190;268;3669;5.18;7.3
1960;301;277;3818;7.88;7.26
1961;308;411;4399;7;9.34
1962;351;582;5143;6.82;11.32
1963;351;733;6142;5.71;11.93
1964;446;855;7024;6.35;12.17
1965;482;1147;8260;5.84;13.89
1966;607;1373;9541;6.36;14.39
1967;661;1366;10694;6.18;12.77
1968;922;1637;11910;7.74;13.74
1969;1133;1956;13548;8.36;14.44
1970;1373;2200;14836;9.25;14.83
1971;1670;2329;16871;9.9;13.8
1972;2123;2961;20141;10.54;14.7
1973;2668;3826;24507;10.89;15.61
1974;3663;5993;30424;12.04;19.7
1975;4078;6364;36061;11.31;17.65
1976;5487;8070;43577;12.59;18.52
1977;7348;9370;55486;13.24;16.89
1978;9659;10034;68355;14.13;14.68
1979;11658;11997;80186;14.54;14.96
1980;14637;17107;94315;15.52;18.14
1981;18486;21095;105785;17.48;19.94
1982;22075;24942;122547;18.01;20.35
1983;28389;30272;140100;20.26;21.61
1984;35691;33238;158806;22.47;20.93
1985;39013;36601;175370;22.25;20.87
1986;39091;35838;210824;18.54;17
1987;42562;43422;226999;18.75;19.13
1988;46025;50282;253822;18.13;19.81
1989;49457;60361;286677;17.25;21.06
1990;51846;64381;321343;16.13;20.03
1991;56949;70021;354213;16.08;19.77
1992;62984;75920;383334;16.43;19.81
1993;71478;76737;396886;18.01;19.33
1994;87070;90382;423945;20.54;21.32
1995;100741;105181;459337;21.93;22.9
1996;112816;113263;487992;23.12;23.21
1997;133417;132302;518049;25.75;25.54
1998;145066;147824;554042;26.18;26.68
1999;156883;168434;594316;26.4;28.34
2000;184932;204355;646250;28.62;31.62
2001;194904;211341;699528;27.86;30.21
2002;198390;213590;749288;26.48;28.51
2003;204462;222273;803472;25.45;27.66
2004;216896;250101;861420;25.18;29.03
2005;229550;276074;930566;24.67;29.67
2006;250703;310328;1007974;24.87;30.79
2007;277851;342602;1080807;25.71;31.7
2008;282589;339795;1116207;25.32;30.44
2009;244658;257071;1079034;22.67;23.82
2010;275847;289953;1080913;25.52;26.82
2011;309575;312207;1070413;28.92;29.17
2012;319223;303950;1039758;30.7;29.23
2013;330453;297062;1025634;32.22;28.96
2014;338769;313698;1037025;32.67;30.25
2015;356873;330527;1075639;33.18;30.73
